title,category,status,tags,prompt,negative_prompt,preview_image,attribution,attribution_link
Outfit Change to Tuxedo and Bow Tie,Fashion,draft,language-en;fashion,Change my outfit here to a Tuxedo and a bow tie.,,https://cms-assets.youmind.com/media/1766231580674_sbur0r_G8htDMoaEAAXvM4.jpg,Sola Awodiya,https://x.com/Solaawodiya/status/2001969941290090833
Character Feature Description Prompt (Japanese),Cartoon,draft,language-ja,"Please create an image that points to various parts of this character with lines, and explains the features of each part in Japanese.",,https://cms-assets.youmind.com/media/1766231606000_3sqf3p_G8hm9A7acAE4baX.jpg,AI_only,https://x.com/0x4149_6f6e6c79/status/2001963685787693229
Hyper-realistic Studio Portrait with Oversized Product Integration (Sprite),Photography,draft,language-en;raycast-friendly;photography;portrait;cinematic,"A full-body hyper-realistic studio portrait of a man from attached photo [{argument name=""jacket color"" default=""green""} bomber jacket, {argument name=""shirt color"" default=""white""} t-shirt, {argument name=""pants color"" default=""black""} jeans, {argument name=""sneaker color"" default=""green""} sneakers ] in a [{argument name=""pose"" default=""relaxed""}] pose, leaning gracefully beside a large [ can of {argument name=""product name"" default=""sprite""}] positioned [{argument name=""product position"" default=""vertical""}] on a smooth [{argument name=""floor color"" default=""green""}] floor. The object appears oversized and realistic, perfectly integrated with the subject — not floating. Its surface shows accurate texture, reflections, and material depth. The pose defines the subject’s attitude and interaction with the object — natural, stylish, and expressive. The character is balanced and confident, matching the object’s tone and style. Background is seamless, same color for wall and floor, slightly lighter below with soft reflections. Lighting: clean professional studio setup — diffused key from front-left, mild fill from right, subtle rim for separation, evenly balanced exposure. Mood: cinematic luxury editorial with minimal composition and photorealistic realism.""",,https://cms-assets.youmind.com/media/1766231580668_6em4at_G8hj3FzbIAEf99p.jpg,ராஜேஷ்,https://x.com/r4jjesh/status/2001959840315560268
Western Manuscript Style Illustration for 'Orychophragmus violaceus',Illustration,draft,language-ja;illustration;poster;design,Draw 'Orychophragmus violaceus' in the design and style of a Western-style ancient document. Use a two-page spread of the ancient document for the drawing. Create the impression that various texts are explaining things around the picture. Make it look worn out and used.,,https://cms-assets.youmind.com/media/1766231615519_mk1ya6_G8hfI8waQAAVyOE.jpg,Vania,https://x.com/VantageAdol/status/2001954657380470944
Artistic Composition Strategy Prompt,Image Generation,draft,language-ja,"Step 1: Increase information
Eliminate horizontal and vertical lines and make various parts of the picture diagonal. Increase variations in joint twists, composition, poses, camera tilt, etc.

Step 2: Reduce information
Thoroughly erase information that doesn't need to be seen. Draw faces precisely and omit others.",,https://cms-assets.youmind.com/media/1766231621121_uw1xb1_G8hSPQZaAAATu1c.jpg,榊正宗🫛ずんだもん発案者,https://x.com/masamune_sakaki/status/2001941691142717467
"Prompt to Generate Intentionally Bad, Child-like Crayon Drawings",Illustration,draft,language-ja;poster,"Place the subject standing in the center, with a plain pose and composition, giving the impression of poor quality, like a child's scribble who just started drawing. The style should be a hand-drawn, anime-style color sketch using rough crayon lines (leaving the under-drawing lines), emphasizing the poor quality!",,https://cms-assets.youmind.com/media/1766231614518_jllbjp_G8hMP4pbgAAdAMC.jpg,榊正宗🫛ずんだもん発案者,https://x.com/masamune_sakaki/status/2001934443402195411
Clothing Separation Prompt for GPT Image 1.5,Fashion,draft,language-en;fashion,Give each piece of her clothing separately on the bed,,https://cms-assets.youmind.com/media/1766231615091_0928ig_G8hDiqDbMAAxU9C.jpg,CHAO2U AI,https://x.com/CHAO2U_AI/status/2001927878649491546
Still-Life Object Portrait Illusion,Photography,draft,language-en;raycast-friendly;poster;portrait,"Create an image that looks like a tabletop still-life of many small objects {argument name=""objects"" default=""buttons, screws, coins, leaves, matchsticks""} scattered naturally, yet from a top-down view they form a clear human face portrait through careful arrangement and shading. Use neutral tones, soft overhead light, and gentle vignette. The face should emerge at mid-distance viewing: close up it’s “just objects,” zoomed out it’s unmistakably a portrait. Add realistic cast shadows under each object to enhance depth. Background: worn wooden table with scratches. Keep the arrangement organic, not too symmetrical. No text, no obvious outlines, no artificial glow.",,https://cms-assets.youmind.com/media/1766231601817_3thpoi_G8hF_vKbAAA0FAz.jpg,Umesh,https://x.com/umesh_ai/status/2001927052921065960
Hyper-Realistic Cinematic Portrait,Photography,draft,language-en;photography;poster;portrait;cinematic;3d,"{
  ""render_goal"": ""Create a hyper-realistic, cinematic portrait with a rugged outdoor adventure aesthetic"",
  ""subject"": {
    ""gender"": ""male"",
    ""age_range"": ""mid-to-late 20s"",
    ""appearance"": {
      ""hair"": ""textured, windswept"",
      ""beard"": ""short, well-groomed"",
      ""facial_features"": ""sharp, chiseled"",
      ""expression"": ""intense, serious""
    },
    ""skin_detail"": ""ultra-detailed, natural texture with realistic tones""
  },
  ""wardrobe"": {
    ""outerwear"": ""worn dark leather jacket"",
    ""details"": ""visible stitching, rugged texture""
  },
  ""environment"": {
    ""location"": ""outdoor mountain landscape"",
    ""background"": {
      ""mountains"": ""misty, fog-covered"",
      ""trees"": ""dark evergreen forest fading into distance"",
      ""atmosphere"": ""dense atmospheric fog""
    }
  },
  ""lighting_and_color"": {
    ""lighting_style"": ""moody, cinematic"",
    ""light_source"": ""soft overcast daylight"",
    ""shadows"": ""dramatic but natural"",
    ""color_palette"": ""cool, desaturated tones""
  },
  ""camera_settings"": {
    ""lens"": ""85mm"",
    ""aperture"": ""f/1.8"",
    ""depth_of_field"": ""shallow"",
    ""focus"": ""razor-sharp on subject, blurred background""
  },
  ""photography_style"": {
    ""quality"": ""professional photography"",
    ""realism_level"": ""hyper-realistic"",
    ""details"": ""high micro-detail, crisp textures, cinematic contrast""
  }
}",,https://cms-assets.youmind.com/media/1766231602177_klzfjo_G8gixqyakAEkbsL.jpg,Johnn,https://x.com/john_my07/status/2001888275724984383
Harajuku Decora Pop Art Poster of Aniko (Detailed),Photography,draft,language-ja;photography;poster;3d;fashion;design;cartoon,"【Request for Production: Character 'Kawaii' Remix】 Using the attached image of the character (Aniko) as a model, could you draw a highly dense and vibrant poster art where she has become a Harajuku fashion icon? 【Points to Infer】 Outfit Upgrade: Do not be constrained by the 'school uniform' element of the original image. Based on her hair color and eye color, devise a much flashier outfit, heavily accessorized, based on **'Harajuku Decora' and 'Y2K fashion'**. (Examples: layered colorful hoodies, frilled skirts, platform sneakers, excessive amounts of hairpins and plastic accessories, etc.) Space Direction: Please use an art style that fills in all 'empty space'. Scatter bursting candies, stars, hearts, ribbons, and comic-style effects like 'BAM!' and 'POP!' in the background to express a **'visually information-overloaded happiness'** like an overturned toy box. Composition and Pose: Use a defenseless, floating pose, as if released from gravity and floating in the air, or lying on a bed and photographed from above. A dynamic composition that uses ultra-wide-angle lens perspective to make hands, feet, and shoes appear large would be appreciated. Typography: Design the text **'ANIKO'** as a shiny, balloon-like 3D logo and place it prominently as the main element of the screen. 【Target Visual】 The violence of 'Kawaii'. Aim for a supremely high-tension pop art that is overflowing with color and feels like your brain is melting just by looking at it. 【Highest Priority】 My instructions are only references for direction; please prioritize the highest quality visual outcome and select or discard my information accordingly. --stylize 1400 --ar 16:9",,https://cms-assets.youmind.com/media/1766231612195_vhykzm_G8gf4NvacAAjp-c.jpg,Toshi@ニャルオAI,https://x.com/Toshi_nyaruo_AI/status/2001885531140141528
Moody Cinematic Portrait,Photography,draft,language-en;poster;portrait;cinematic;design,"moody cinematic portrait of a man in dark jacket, front facing but slightly turned, minimal expression, dark teal and cyan studio lighting, smooth gradient blue background fading into shadows, creative double exposure ghosted silhouette behind main face, soft haze, film look, subtle grain, high contrast on facial features, poster design composition, empty space for typography, no text, no watermark",,https://cms-assets.youmind.com/media/1766231592930_q2refo_G8gYxAjawAE1oc3.jpg,Harboris,https://x.com/Harboris_27/status/2001877289303490702
TIME Magazine 'Person of the Year' Cover,Image Generation,draft,language-ja,Create the cover of TIME magazine's '100 People of the Year'. All titles and text should be in English.,,https://cms-assets.youmind.com/media/1766231619160_73kak9_G8gKwd2akAgEEuQ.jpg,富田 良治（とみー）｜現代版駄菓子屋 富田商店｜スナックトミタ,https://x.com/tomita777tomita/status/2001862027493679574
Ultra-Realistic Cloud Silhouette,Poster Design,draft,language-en;raycast-friendly;poster;cinematic,"Create an ultra-realistic sky scene where soft, natural cloud formations organically assemble into the clear, recognizable silhouette of {argument name=""person"" default=""[PERSON]""}. The cloud likeness appears high in a vibrant blue sky, formed gently and believably, as if shaped naturally by wind and atmosphere rather than intentionally sculpted.

The cloud figure floats above a grounded, recognizable natural landscape below—fields, hills, water, or trees—providing scale and realism. The composition is square (1080×1080), with the cloud formation occupying the upper portion of the frame while the landscape anchors the scene beneath.

Lighting is crisp and daylight-bright, with sunlit highlights and soft shadowing across the clouds to enhance volume, depth, and softness. The sky remains clean and naturally blue, with realistic atmospheric gradients.

The overall mood is calm, optimistic, and visually striking, with rich yet natural color saturation and a peaceful, uplifting atmosphere. Ultra-high realism, cinematic clarity, no text, no surreal effects, no exaggeration",,https://cms-assets.youmind.com/media/1766231592390_6ntrvv_G8gHGdcb0AASGUa.jpg,Dr.duet,https://x.com/Sheldon056/status/2001858905757126660
Aesthetic Image Generation Prompt,Photography,draft,language-en;photography;cinematic,"A high-resolution, cinematic photograph of a lone, ancient lighthouse standing on a rugged cliff edge at sunset. The sky is dramatic, painted in deep oranges, purples, and blues, with rays of light breaking through the clouds. Waves crash violently against the rocks below, creating a fine mist. The lighthouse beam cuts sharply through the twilight air. The texture of the stone and the weathered metal of the lantern room are highly detailed. The overall mood is one of isolation, power, and enduring beauty. Shot on a large format camera, 85mm lens, f/2.8, golden hour lighting.",,https://cms-assets.youmind.com/media/1766117349428_0zm5v7_G8f2uXgakAAJVvS.jpg,Jahan Zaib,https://x.com/jzaib4269/status/2001839838740578328
Dynamic Basketball Dunk Photo,Photography,draft,language-ja;photography,Create a dynamic photo of this person performing a dunk in basketball.,,https://cms-assets.youmind.com/media/1766231617305_kxg5xe_G8fyCw5akAECs4g.jpg,富田 良治（とみー）｜現代版駄菓子屋 富田商店｜スナックトミタ,https://x.com/tomita777tomita/status/2001835084027170867
Pencil Sketch Schematic,Cartoon,draft,language-en;raycast-friendly,"Pencil sketch for the schematics of {argument name=""character"" default=""bender""}",,https://cms-assets.youmind.com/media/1766231589771_1aj971_G8fx2PuasAEvwnj.jpg,JB,https://x.com/JasonBotterill/status/2001834480257097802
Advanced Product Photography Prompt for GPT Image 1.5,Photography,draft,language-zh;raycast-friendly;photography;illustration;poster;cinematic;3d;fashion;cartoon,"A vertical split-screen creative product photography composition on a clean white wall background. High-resolution, photorealistic, commercial advertisement quality.

Top Section: The Specimen Box
The upper half features an exquisite light oak wooden shadow box frame mounted on the wall. Inside, a specific outfit is displayed as an artistic flat-lay museum specimen: {argument name=""Clothing Details"" default=""a sleek black satin slip dress with delicate lace trim and thin spaghetti straps""}. The garments are neatly pinned in place. Surrounding them are small thematic decorative props: {argument name=""Props"" default=""dried roses, vintage perfume bottles, silk ribbon""}. Elegant calligraphy on the matte paper backdrop reads: {argument name=""Text"" default=""Midnight Elegance""}. Soft studio lighting accentuates the rich texture and drape of the fabric.

Bottom Section: Naked-Eye 3D Reality
The lower half creates a hyperrealistic ""naked-eye 3D"" illusion. A rectangular picture-frame border sits directly beneath the top box. A stunningly realistic young woman {argument name=""Model Description"" default=""a poised East Asian model with long wavy black hair, subtle smoky eyes, and a confident gaze""} wears the exact same outfit as shown above.

She lounges casually on the bottom edge of the frame—one leg bent with foot resting inside the frame, the other leg elegantly dangling out into the viewer’s space. Her torso leans back slightly, elbow resting on her raised knee, fingers lightly grazing the fabric near her collarbone. Her body forms a soft, sensual S-curve that highlights the garment’s silhouette without overt exposure. She looks directly at the camera with a calm, knowing smile—inviting yet enigmatic. This dynamic, lifelike pose contrasts powerfully with the static, archival display above, creating visual tension between reality and presentation.

Technical Specs:
Soft natural shadows, ambient occlusion, bright and airy yet cinematic lighting, 8K resolution, Octane Render, vivid but refined color palette, ultra-detailed fabric textures (satin sheen, lace transparency, stitching), shallow depth of field, Vogue editorial style, filmic grain, professional fashion photography.

Negative Prompt (recommended):
blurry, low-res, distorted anatomy, extra limbs, deformed hands, cartoon, anime, doll-like, plastic skin, overexposed, cluttered background, text errors, mismatched clothing, floating objects, unrealistic proportions.",,https://cms-assets.youmind.com/media/1766231604369_ekgjs8_G8ftuYvaUAAOJU2.jpg,岚叔,https://x.com/LufzzLiz/status/2001831802269499412
Ultra-Detailed 3D Graphite Sketch,Photography,draft,language-en;photography;poster;3d,"Generate an image from the uploaded photo that reimagines the subject as an ultra-detailed 3D graphite pencil sketch on textured white notebook paper. Emphasize crisp paper grain, subtle imperfections, and natural surface fibers. Show the subject actively drawing, with their hand holding a pencil as the sketch comes to life. Include an eraser, sharpener, and scattered pencil shavings resting on the page. Add realistic shadows, smudges, and fine graphite residue around the working area to reinforce the tactile, hand-drawn feel.",,https://cms-assets.youmind.com/media/1766231599193_rej44z_G8fkq7IXcAIXp9_.jpg,AMEEN,https://x.com/Ameen_media/status/2001820158558396549
Gachapon Capsule Toy Design,Photography,draft,language-ja;raycast-friendly;photography;design,"Create a miniature capsule toy in the style of a gachapon, based on a single subject ({argument name=""subject"" default=""person, brand mascot, or object""}). The figure should be simple and toy-like in its deformation, sized to fit neatly inside a transparent plastic capsule. Inside the capsule, include a paper insert typical of Japanese gachapon, featuring the toy's name, a small product photo, an icon-style mark, and simple Japanese text. The capsule should be shown either inside the dispensing slot of an actual gachapon vending machine or immediately in front of it. Express the material textures realistically, showing the glossy plastic of the capsule, the slightly matte figure, and the thinly folded paper insert. The overall atmosphere should be natural, like a photo taken with an iPhone, with soft light, a slight sense of camera shake, light background bokeh, and subtle realistic imperfections or quirks. Keep the composition clean and simple, with the subject centered. Aim for a clean finish without clutter.",,https://cms-assets.youmind.com/media/1766231610243_5mbtd4_G8fZUYXakAEDfIo.jpg,富田 良治（とみー）｜現代版駄菓子屋 富田商店｜スナックトミタ,https://x.com/tomita777tomita/status/2001808167580373298
Ultra-Detailed 3D Graphite Pencil Sketch Generation,Photography,draft,language-en;photography;poster;3d,"Generate an image from the uploaded photo that reimagines the subject as an ultra-detailed 3D graphite pencil sketch on textured white notebook paper. Emphasize crisp paper grain, subtle imperfections, and natural surface fibers. Show the subject actively drawing, with their hand holding a pencil as the sketch comes to life. Include an eraser, sharpener, and scattered pencil shavings resting on the page. Add realistic shadows, smudges, and fine graphite residue around the working area to reinforce the tactile, hand-drawn feel.",,https://cms-assets.youmind.com/media/1766231578095_dfti72_G8fXIWfakAcJaVR.jpg,ChatGPT,https://x.com/ChatGPTapp/status/2001805269270171764
Desert Ruins of Pure Math Grid,Photography,draft,language-en;photography;poster,"Desert Ruins of Pure Math (Cairo-style monumental stone)
A 2x2 grid of 4 monumental mathematical symbols built as ancient desert ruins in sandstone
[Top Left: The Integral (∫) as a collapsed arch-aqueduct, wind-eroded blocks, carved microtext equations, tiny caravans for scale]
[Top Right: The Sigma (Σ) as a stepped fortress-ziggurat with sharp terraces, long shadows, sand drifts collecting in corners]
[Bottom Left: The Pi (π) as two colossal pylons and a lintel bridge over a narrow oasis canal, chipped stone, scattered rubble geometry]
[Bottom Right: A Penrose Triangle as impossible ruins half-buried in dunes, optical illusion architecture, Escher perspective, sunlight slicing across paradox edges]
Aerial oblique view, golden desert haze, crisp hard sunlight, dramatic shadows, photoreal ruins texture, subtle river ribbon, swiss 2x2 grid layout.",,https://cms-assets.youmind.com/media/1766117317356_2vpbea_G8VcU1LXoAMqz35.jpg,Gadgetify,https://x.com/Gdgtify/status/2001771705400766676
Reasoning and Instruction Following Puzzle Prompt,Poster Design,draft,language-en;raycast-friendly;poster,"""Show me 4 realistic objects on a table. The objects are related in some way, this is a puzzle. Add title text across the top, ""{argument name=""title text"" default=""What do these objects have in common?""}"" And very small upside down text on the bottom which reveals the way in which they are related.""",,https://cms-assets.youmind.com/media/1766117332475_8lulhi_G8e18eAbkAAYRu_.jpg,Joe ⭕ Dot ⭕ Average,https://x.com/JoeDotAverage/status/2001768707123744896
Meta-Prompt: Create an Image Detailing its Own Creation Steps,Image Generation,draft,language-en,Create an image about the very detailed steps you create to create the image.,,https://cms-assets.youmind.com/media/1766117337382_67y665_G8esvp1XIAITg2-.jpg,AI Mother Brain,https://x.com/AIMotherBrain/status/2001759949186040041
Anime Christmas Elf Cross-Stitch,Image Generation,draft,language-en,"a cross-stitch of a christmas elf - anime style. the elf is working at a guitar store, guitars hang on the wall. the cross stitch has a christmas border with mistletoe and christmas decorations.",,https://cms-assets.youmind.com/media/1766117318200_6t0g8j_G8egZjaXsAAkB2t.jpg,mash tun,https://x.com/MashTunTimmy/status/2001745127396573635
Moody Cinematic Portrait with Motion Blur and Directional Lighting,Photography,draft,language-en;poster;portrait;cinematic;fashion,"Generate a moody cinematic portrait of a young male model with light skin, soft textured wavy hair, dressed in a fitted black suit with dark shirt, standing against a black background, harsh directional lighting from the left casting deep shadows, model looking forward with piercing eyes and a tense jawline, one hand clutching his collar near the neck, motion blur effect slicing across the face horizontally from left to right, blending light streaks in muted amber and beige tones, sharp contrast between still and blurred zones, stylized editorial tone with subtle film grain and soft falloff, no digital smoothness or plasticity, skin texture and shadows intact, emotionally charged expression, light halo around hair, minimal background details.",,https://cms-assets.youmind.com/media/1766117336502_1vqe84_G8eR5t6bwAAZt8B.jpg,Sanchit | AI Tools & News,https://x.com/AIwithSanchit/status/2001728985131360723
Portrait grid with varied facial expressions,Photography,draft,language-en;photography;poster;portrait,"Starting with the uploaded photo as a base reference, create a clean and modern portrait grid featuring the same person with several different facial expressions and moods. Arrange the images in a neat 3×3 layout with rounded corners and soft pastel backgrounds. Each portrait should retain the same facial features, hairstyle, and realism, changing only the expression and subtle style. Include expressions such as: natural smile, joyful laugh, calm with eyes closed, neutral and serious gaze, pensive pose with hand on chin, confident and composed expression, sad or disappointed mood, mischievous pout, and surprised reaction with wide eyes. Use soft studio lighting, highly detailed skin texture, shallow depth of field, minimal variations in wardrobe, consistent color palette, ultra-realistic editorial portrait style, high resolution, and clean aesthetics.",,https://cms-assets.youmind.com/media/1766117348980_417qhe_G8eLCs8XcAARcGs.jpg,Camille_1982_fr,https://x.com/1982_camille/status/2001721453075644763
Hyper-Realistic Cinematic Action Scene from Reference Image,Poster Design,draft,language-en;raycast-friendly;poster;cinematic;fashion,"Using the uploaded image as the primary visual reference, transform the subject into a hyper-realistic cinematic action scene. The man is leaping forward onto a city crosswalk while emerging from a glowing circular dimensional portal behind him. The portal emits intense swirling neon energy in electric {argument name=""portal color 1"" default=""blue""}, {argument name=""portal color 2"" default=""violet""}, and {argument name=""portal color 3"" default=""magenta""}, with sparks, lightning arcs, particle debris, and visible energy-distortion effects in the air.

The subject is captured mid-motion in a powerful running leap, expression focused and intense. His original clothing from the reference image is naturally adapted for dynamic motion, with realistic fabric flow, folds, and physics, without changing his identity. Footwear and outfit subtly reflect the neon portal light. Preserve the subject’s original facial structure, skin texture, hairstyle, beard (if present), and body proportions exactly as in the reference image.

The environment is a modern urban city street with cinematic perspective. The background is slightly motion-blurred to emphasize speed and action. The road surface appears wet, showing subtle reflections of the glowing portal and neon light streaks. Dramatic cinematic lighting, volumetric light rays, shallow depth of field, ultra-sharp details, high contrast, realistic physics, sci-fi atmosphere, professional action-movie poster composition, cinematic color grading, ultra-high resolution, 8K quality.",,https://cms-assets.youmind.com/media/1766117339927_6yb1a3_G8dtiRcaoAA5XzT.jpg,புல்லட் வண்டி 😈🧛,https://x.com/iam_vampire_0/status/2001689313554370620
Underwater Product Photoshoot with Caustic Light,Photography,draft,language-en;photography;poster;cinematic,"[Reference Image] fully submerged in crystal-clear, turquoise water, captured in ultra-high-resolution underwater photography. Sunlight penetrates the surface above, creating intricate caustic light patterns that ripple and dance across the subject and surrounding water. The scene conveys pristine clarity with zero particulate matter, emphasizing a sense of suspended weightlessness and serene motion. Fine details are frozen using high-speed capture, with subtle bubbles and flowing fabric or hair enhancing the feeling of aquatic elegance. The overall aesthetic is clean, refreshing, and ethereal, with soft natural color grading, high dynamic range, and cinematic realism.",,https://cms-assets.youmind.com/media/1766117314070_vide3k_G8detsYakAYU8D6.jpg,1LittleCoder💻,https://x.com/1littlecoder/status/2001672903792955756
Ultra-Realistic Humanoid Robot on Rooftop,Photography,draft,language-en;raycast-friendly;photography;illustration;poster;cinematic;cartoon,"Ultra-realistic cinematic photograph of a humanoid robot standing on a rooftop overlooking a modern city at dawn, medium shot. Highly detailed humanoid robot with synthetic skin and exposed metallic elements, realistic joints, fine mechanical details, subtle surface imperfections, micro scratches and reflections. Human-like posture and proportions, calm and natural stance, soft ambient light reflecting off metal and synthetic materials. Cinematic sunrise lighting, soft volumetric light, realistic city skyline in the background with shallow depth of field. A digital city billboard in the background displaying the text ""{argument name=""billboard text"" default=""SYSTEM ONLINE""}"", text integrated into the screen with realistic glow, perspective, and lighting, not overlaid. Photorealistic futuristic photography, high fidelity materials, no cartoon style, no sci-fi illustration, production-ready realism.",,https://cms-assets.youmind.com/media/1766117328409_ou93vb_G8dd_6bakAQMpil.jpg,IVAN | IA,https://x.com/ivnways/status/2001671922984325197
Complex Structured Prompt for Rainy Times Square Scene with Detailed Subject Description,Poster Design,draft,language-en;raycast-friendly;poster;fashion;design,"{
  ""scene"": {
    ""location"": ""{argument name=""location"" default=""Times Square, New York""}"",
    ""time"": ""{argument name=""time"" default=""Rainy night""}"",
    ""composition"": {
      ""left_side"": [
        {
          ""type"": ""LED billboard"",
          ""style"": ""vertical"",
          ""text_color"": ""white-on-black""
        },
        {
          ""type"": ""curved LED screen"",
          ""detail"": ""above yellow arrow for Hershey's store""
        }
      ],
      ""right_side"": {
        ""subject_position"": ""near curb"",
        ""traffic"": {
          ""vehicles"": ""city taxis and cars"",
          ""details"": ""brake lights forming a slow line""
        }
      }
    },
    ""environment"": {
      ""ground"": ""wet asphalt"",
      ""reflection_colors"": [""neon magenta"", ""icy blue""],
      ""puddles"": {
        ""reflecting_lights"": true,
        ""object_details"": [""scattered takeaway cups""]
      },
      ""atmosphere"": [""electric"", ""intimate""]
    }
  },
  ""subject"": {
    ""identity"": ""Uploaded subject"",
    ""face_requirement"": ""Do not change facial features. Must look 1000% identical."",
    ""pose"": ""Relaxed, facing camera"",
    ""holding"": ""Folded black umbrella by handle"",
    ""outfit"": {
      ""jacket"": {
        ""material"": ""black faux-leather varsity"",
        ""design"": {
          ""cobalt_panel"": true,
          ""cream_stripe"": true,
          ""embroidery"": ""Vintage script"",
          ""lettering"": ""Block OF"",
          ""patch"": ""1987 stitched on sleeve"",
          ""reflective_piping"": true,
          ""highlight_color"": ""purple reflection""
        }
      }
    }
  },
  ""background"": {
    ""elements"": [""cars"", ""scaffolding"", ""stacked storefront signs""]
  },
  ""style"": {
    ""resolution"": ""HD"",
    ""aesthetic"": [""realistic"", ""natural"", ""authentic""],
    ""camera"": ""iPhone""
  }
}",,https://cms-assets.youmind.com/media/1766117328579_6hzy1j_G8dW0SabIAA3vbq.jpg,Dr.duet,https://x.com/Sheldon056/status/2001664038707826811
Extreme Food Art Grid of New York Neighborhoods,Photography,draft,language-en;raycast-friendly;photography;poster,"a 2x2 food art grid. Randomly select 4 diverse {argument name=""new york's neighborhoods"" default=""new york's neighborhoods""}. For each: construct the location's geographic shape from signature dishes, build a few famous landmarks from food, add environmental details (waterways, vegetation, infrastructure) using sauces/spices/ingredients. Extreme food art on slate boards, macro photography, dramatic overhead lighting, dark moody background, name underneath.",,https://cms-assets.youmind.com/media/1766117310206_sdbxak_G8YUAeJXgAAtplf.jpg,Gadgetify,https://x.com/Gdgtify/status/2001662485519306967
Cinematic Night Street Scene Prompt,Cinematic,draft,language-en;cinematic,"A woman walking through a rainy street at night, neon signs reflecting off puddles, raindrops on the jacket, soft bokeh in the background, moody expression, cinematic blue-red color contrast.",,https://cms-assets.youmind.com/media/1766117331797_63ap3y_G8dJJkqakAIYglj.jpg,Johnn,https://x.com/john_my07/status/2001648991449366710
Chinese Fantasy Digital Art Prompt Template,Photography,draft,language-zh;raycast-friendly;photography;poster;cinematic;3d;fashion,"{
  ""meta_info"": {
    ""title"": ""Ethereal Hanfu Spirit"",
    ""style_category"": ""Chinese Fantasy / Abstract Digital Art"",
    ""aspect_ratio"": ""3:1""
  },
  ""visual_elements"": {
    ""subject"": {
      ""description"": ""Silhouette wearing attire determined by the character"",
      ""pose"": ""Pose determined by the character, floating in mid-air"",
      ""composition"": ""Centered ethereal figure with flowing trails extending to the sides""
    },
    ""atmosphere"": {
      ""lighting"": ""Bioluminescent glow, volumetric lighting, rim lighting"",
      ""effects"": ""Flowing smoke, light particles, holographic dispersion, silk-like energy trails"",
      ""colors"": [""Deep Navy Blue"", ""Glowing Cyan"", ""Iridescent Gold"", ""Soft Peach""]
    }
  },
  ""prompt_export"": {
    ""natural_language_prompt"": ""A wide panoramic digital artwork depicting a figure composed of flowing ribbons of light, translucent smoke, and iridescent particles. The background features deep, moody indigo and dark blue tones. The figure emits a soft, magical bioluminescent glow in hues of gold, peach, and cyan. The overall style is abstract fantasy, emphasizing fluid motion and a dreamy atmosphere, rendered in 8K resolution with highly detailed textures and exhibiting the Tyndall effect."",
    ""tag_based_prompt"": "" silhouette, flowing light lines, smoke effects, particle effects, bioluminescence, iridescent effects, dark blue background, cinematic lighting, ethereal, mystical, masterpiece, best quality, 8k, wide angle --ay 21:9 "",
    ""negative_prompt"": ""photorealistic, solid skin, heavy outlines, messy lines, text, watermark, low quality, jpeg artifacts, blurry, distorted face, bad anatomy""
  },
  ""technical_settings_recommendation"": {
    ""sampler"": ""Euler a / DPM++ 2M Karras"",
    ""steps"": 30,
    ""cfg_scale"": 7.0,
    ""model_suggestion"": ""Niji 6 (for Midjourney) or Abstract/Fantasy-based SDXL models""
  }
}
Character set as: {argument name=""character setting"" default=""The four master and disciples from Journey to the West""}",,https://cms-assets.youmind.com/media/1766117345240_yz282k_G8c6f_Tb0AAajb1.jpg,岚叔,https://x.com/LufzzLiz/status/2001637740568596705
Adding Handwritten Text and Decoration to an Image,Photography,draft,language-ja;raycast-friendly;photography;poster,"Please add handwritten text ({argument name=""date"" default=""2025.12.18""} + heart mark) and decorations to make it look like a Cheki (instant photo).",,https://cms-assets.youmind.com/media/1766117326298_nbnz1o_G8cfu7DakAQPoBA.jpg,AI_only,https://x.com/0x4149_6f6e6c79/status/2001603835023007959
Exorcist with Fluffy Rabbit Ears and Apprentice Rabbit Familiar,Image Generation,draft,language-ja,An exorcist with fluffy rabbit ears and a rabbit familiar who is also an apprentice and wants to take a bath,,https://cms-assets.youmind.com/media/1766117345820_txij3v_G8ccYWnaEAAK3M_.jpg,ak@AI関係の投稿垢,https://x.com/Ak_Quen/status/2001599775582666974
